label,select_sex,dmp_sex,dmp_age,dmp_city,dmp_education,dmp_price,dmp_model,user_state,first_preference,first_weight,second_preference,second_weight,freetype,categoryid,subcategoryid,allwords,vipwords,avgbuy
0,0,1,30,6,1010165000000010009,0,1010107000000001153,2,1,690.37,0,0,1,20042,20048,7044975,6736137,727
0,0,2,27,6,1010165000000010009,0,1010107000000001153,2,2,269081,3,65765.7,2,30013,30017,1950196,3677132,7174
0,0,1,33,1,1010165000000010004,8488,1010107000000001421,2,1,15995.7,0,0,1,20050,20052,1487958,1045027,1852
0,0,1,29,6,1010165000000010008,6188,1010107000000001127,2,1,7549.15,0,0,1,20001,20003,3602618,3202163,81019
0,0,1,32,6,1010165000000010004,0,1010107000000001102,2,1,2768.02,0,0,1,20001,20003,3602618,3202163,81019
0,0,2,35,3,1010165000000010008,1599,1010107000000001079,2,2,1573.77,0,0,2,30013,30015,2002362,1967129,19424
0,0,2,25,3,1010165000000010008,1298,1010107000000001102,2,2,16532.1,1,11889.3,2,30013,30015,2002362,1967129,19424
0,0,1,29,2,1010165000000010004,0,1010107000000001102,2,2,101474,0,0,2,30013,30017,2029004,3874173,1825
0,-1,2,37,4,1010165000000010004,3299,1010107000000001079,1,1,23680.8,0,0,1,20001,20002,11354127,11250160,51710
0,0,0,0,\N,0,\N,\N,2,1,28754.8,0,0,1,20028,20030,4124569,3886116,11342
0,0,1,33,1,1010165000000010002,10899,1010107000000001421,2,2,34701.6,3,26585.6,2,30013,30015,948964,878252,10169
1,0,2,18,3,1010165000000010009,0,1010107000000001102,2,1,164432,0,0,1,20001,20002,5750580,5681453,565
1,0,2,18,3,1010165000000010009,0,1010107000000001102,2,1,164432,0,0,1,20001,20002,5750580,5681453,565
0,0,2,18,4,1010165000000010007,\N,\N,2,2,36047.4,3,6007.6,2,30013,30017,2917649,2939311,10147
0,0,1,26,6,1010165000000010008,0,1010107000000001288,2,1,5722.87,0,0,1,20019,20026,2858754,2810614,639
0,0,1,29,1,1010165000000010004,4988,1010107000000001153,1,2,119.75,0,0,2,30020,30028,3234290,3346488,36795
0,0,2,34,3,1010165000000010008,2699,1010107000000001079,2,2,86666.8,0,0,2,30020,30028,1800116,1781985,14665
0,0,2,34,4,1010165000000010008,\N,\N,2,2,32936.3,1,6434.19,2,30001,30003,2088845,4032697,16461
0,0,2,26,2,1010165000000010010,0,1010107000000001153,2,2,8191.55,0,0,2,30013,30015,1953090,1889552,2353
0,0,1,18,2,1010165000000010007,1956,1010107000000001288,1,2,735.03,0,0,2,30031,30033,1657437,1807641,2588
0,0,2,29,2,1010165000000010002,0,1010107000000001102,0,2,0.19,0,0,2,30013,30017,1420001,1349728,17359
0,0,2,21,2,1010165000000010007,0,1010107000000001079,1,2,160.12,0,0,2,30008,30010,2852819,2722044,3577
0,0,1,24,6,1010165000000010004,0,1010107000000001288,2,1,5536.49,0,0,1,20019,20020,1117278,844319,3802
0,0,1,8,1,0,4999,1010107000000001079,1,1,866.92,0,0,1,20001,20002,3736731,3626373,11654
0,0,2,18,2,1010165000000010008,0,1010107000000001079,2,1,16519.2,2,2563.14,2,30020,30021,620820,536961,629
0,0,1,18,6,1010165000000010007,3898,1010107000000001102,2,2,13975.2,0,0,2,30013,30019,1257601,1179917,4043
0,0,2,21,4,1010165000000010008,0,1010107000000001102,2,1,2351.75,0,0,1,20014,20015,1511662,2663355,41365
0,0,2,18,2,1010165000000010004,6799,1010107000000001421,2,2,568.66,3,108.83,2,30013,30015,1400505,2537950,71339
0,0,2,24,2,1010165000000010010,3988,1010107000000001153,2,2,2321.08,0,0,2,30001,30003,1719285,3206399,28323
0,0,1,23,6,1010165000000010004,4288,1010107000000001153,2,3,19152.3,1,9973.6,2,30001,30003,1719285,3206399,28323
0,0,2,17,3,1010165000000010007,0,1010107000000005724,2,2,4336.64,0,0,2,30001,30003,1719285,3206399,28323
1,0,2,27,4,1010165000000010008,0,1010107000000001102,2,2,216.32,0,0,2,30013,30017,1098562,1962146,22236
1,0,1,16,4,1010165000000010009,1198,1010107000000001102,2,2,105716,3,79090.2,2,30013,30018,1037593,1838492,18243
1,0,1,16,4,1010165000000010009,1198,1010107000000001102,2,2,105716,3,79090.2,2,30013,30018,1037593,1838492,18243
1,0,1,16,4,1010165000000010009,1198,1010107000000001102,2,2,105716,3,79090.2,2,30013,30018,1037593,1838492,18243
1,0,2,24,3,1010165000000010004,0,1010107000000001153,2,1,65515.1,2,11109.6,2,30020,30028,1389307,2536288,2935
0,0,2,34,2,1010165000000010004,3099,1010107000000001153,2,2,45043.8,0,0,2,30013,30018,2125188,3433852,10093
0,0,1,26,3,1010165000000010007,5488,1010107000000001153,2,1,45502.7,0,0,1,20001,20002,8276397,9736512,4567
0,0,1,24,6,1010165000000010009,2598,1010107000000001102,2,1,60232.1,0,0,1,20001,20002,8276397,9736512,4567
0,0,1,29,4,1010165000000010008,6799,1010107000000001421,2,1,20245.1,0,0,1,20001,20002,5522965,5446959,593
0,0,1,27,4,1010165000000010004,0,1010107000000001102,2,1,2910.63,0,0,1,20001,20003,4950960,4765781,100196
0,0,2,27,4,1010165000000010008,0,1010107000000001127,2,1,12278.7,0,0,1,20001,20003,4950960,4765781,100196
0,0,1,16,1,0,2999,1010107000000001288,2,1,2197.94,0,0,1,20001,20003,4950960,4765781,100196
0,0,2,21,6,1010165000000010007,3099,1010107000000001153,2,1,866.68,3,352.27,2,30013,30018,1704978,2612560,18915
0,0,2,24,0,1010165000000010007,0,1010107000000001153,2,2,53732.1,0,0,3,14300,14312,831394,708050,1258
0,0,2,17,3,1010165000000010004,2400,1010107000000001199,2,2,1833.55,0,0,2,30013,30015,3128481,4254822,9155
0,0,0,0,\N,0,\N,\N,2,1,2511.64,0,0,1,20014,20016,3687608,3275381,133723
0,0,1,34,1,1010165000000010004,6388,1010107000000001421,2,1,12865.3,0,0,1,20014,20016,3687608,3275381,133723
1,0,2,40,2,1010165000000010008,1999,1010107000000001153,2,2,21826.6,0,0,2,30013,30018,1474941,1283280,10123
0,0,1,21,3,1010165000000010007,3299,1010107000000001199,0,2,163.38,0,0,2,30020,30028,4201067,4247678,3833
0,0,1,50,1,1010165000000010004,0,1010107000000001444,2,1,14110.4,0,0,1,20050,20052,3538653,3265577,6887
0,0,2,40,2,1010165000000010008,3999,1010107000000001153,2,2,128858,0,0,2,30013,30019,718442,704029,6416
1,0,2,18,6,1010165000000010007,0,1010107000000001288,2,2,139788,0,0,2,30036,30037,1064046,1022221,6977
1,0,2,30,2,1010165000000010004,1599,1010107000000001444,2,2,130367,0,0,3,14300,14314,548339,479069,2316
0,0,1,23,5,1010165000000010008,0,1010107000000001153,2,1,6062.26,0,0,1,20001,20002,10548908,10526276,252
0,0,1,26,2,1010165000000010004,0,1010107000000001224,1,3,541.04,0,0,3,13100,13107,462860,354909,11339
0,0,1,20,3,1010165000000010008,1498,1010107000000001102,2,1,1127.08,0,0,1,20001,20002,1475897,1383372,135
1,0,0,16,6,1010165000000010008,1998,1010107000000001102,2,1,84977.7,0,0,1,20001,20002,7299106,7294847,36
1,0,0,16,6,1010165000000010008,1998,1010107000000001102,2,1,84977.7,0,0,1,20001,20002,7299106,7294847,36
1,0,0,16,6,1010165000000010008,1998,1010107000000001102,2,1,84977.7,0,0,1,20001,20002,7299106,7294847,36
1,0,0,16,6,1010165000000010008,1998,1010107000000001102,2,1,84977.7,0,0,1,20001,20002,7299106,7294847,36
1,0,0,16,6,1010165000000010008,1998,1010107000000001102,2,1,84977.7,0,0,1,20001,20002,7299106,7294847,36
1,0,0,16,6,1010165000000010008,1998,1010107000000001102,2,1,84977.7,0,0,1,20001,20002,7299106,7294847,36
1,0,0,16,6,1010165000000010008,1998,1010107000000001102,2,1,84977.7,0,0,1,20001,20002,7299106,7294847,36
1,0,0,16,6,1010165000000010008,1998,1010107000000001102,2,1,84977.7,0,0,1,20001,20002,7299106,7294847,36
1,0,0,16,6,1010165000000010008,1998,1010107000000001102,2,1,84977.7,0,0,1,20001,20002,7299106,7294847,36
1,0,2,36,1,1010165000000010004,9599,1010107000000001421,2,2,12786.3,3,8220.67,3,14300,14302,749233,670639,6022
1,0,2,36,1,1010165000000010004,9599,1010107000000001421,2,2,12786.3,3,8220.67,3,14300,14302,749233,670639,6022
1,0,2,42,2,1010165000000010004,5488,1010107000000001153,2,3,42356.8,2,26332.4,3,14300,14302,371800,319972,7691
1,0,2,41,3,1010165000000010008,5399,1010107000000001153,2,3,71045.2,2,50706.1,3,14300,14314,782456,691289,1655
0,0,2,19,6,1010165000000010007,5488,1010107000000001153,2,2,99351.2,0,0,3,13100,13110,1149343,1131567,172
0,0,1,23,1,1010165000000010004,0,1010107000000001153,2,1,3533.75,0,0,1,20001,20002,9115739,14157477,1729
0,0,1,52,4,1010165000000010004,1299,1010107000000001288,2,1,333512,0,0,1,20001,20003,3765056,3795728,3200
0,0,0,34,1,1010165000000010008,1999,1010107000000001153,2,2,115743,0,0,2,30020,30028,931653,853330,1900
1,0,2,25,1,1010165000000010008,0,1010107000000001153,2,2,361319,0,0,2,30013,30017,1439680,1378723,8326
1,0,2,25,1,1010165000000010008,0,1010107000000001153,2,2,361319,0,0,2,30013,30017,1439680,1378723,8326
0,0,2,18,0,1010165000000010009,\N,\N,2,1,770.76,2,646.89,2,30013,30017,2247335,2074523,15200
0,0,2,24,1,1010165000000010010,0,1010107000000001102,2,2,570155,1,231214,2,30013,30015,2612051,2565687,7176
0,0,1,23,2,1010165000000010007,1999,1010107000000001079,2,1,5319.39,0,0,1,20014,20016,6506892,6465332,9550
0,0,2,12,6,1010165000000010009,4288,1010107000000001153,2,1,70805.8,0,0,1,20014,20016,6506892,6465332,9550
0,0,1,33,3,1010165000000010010,4799,1010107000000001421,2,1,8160.1,0,0,1,20014,20016,6506892,6465332,9550
